Girona;Associació Protectora d'Animals i Plantes de Figueres;https://www.google.com/maps/place//data=!4m2!3m1!1s0x12ba8dd101e47675:0xefb2e26f746f2780?sa=X&ved=1t:8290&ictx=111;972 50 23 61;Lunes a Sábado 10:00-13:00;http://www.protectorafigueres.com/index.php/ca/adoptar-2/itemlist/filter?array1%5B%5D=Gos&moduleId=159&Itemid=225
Granada;Asociación Por Patas;https://maps.app.goo.gl/KZ1zxjhS93PKJnUr8;622 623 933;Lunes a Domingo 10:00-22:00;https://asociacionporpatas.protecms.com/animales?especie=perros&estado=en-adopcion
Guadalajara;APAMAG - Asociación Ayuda a Perros Abandonados;https://maps.app.goo.gl/FqsXM3jmHH1y1dPB7;acogidas@apamag.org;Lunes a Sábado de 10:00-19:00;http://www.apamag.org/index.php/en-adopcion/en-adopcion
Gipuzkoa;Protectora de Gipuzkoa;https://www.google.com/maps/place//data=!4m2!3m1!1s0xd51b0e1d2315bf3:0x1d868e4ac5b4cdbd?sa=X&ved=1t:8290&ictx=111;943 37 66 50;Lunes a Sábado de 10:00-14:00;https://www.protectoradegipuzkoa.com/adopcion/perros/
Huelva;Naturalia;https://maps.app.goo.gl/TTDyGnXsxJMWne6LA;959 87 67 78;Lunes a Viernes de 9:00-14:00 y 17:00-20:00 // Sábado de 10:00-14:00;https://asociacionnaturaliahuelva.org/la-36-perros
Huesca;Perrera de Huesca;https://maps.app.goo.gl/g6cWzALtvwZLdpRRA;974 29 41 00;Lunes a Viernes de 9:30-13:00 // Martes y Jueves de 16:00-18:00 horas // Sábado y Domingo de 9:00 a 10:30h;https://www.dphuesca.es/servicios-mas-frecuentes/perros-en-adopcion
Jaén;Abyda - Asociación para el Bienestar y Defensa Animal de Jaén;https://www.google.com/maps/place//data=!4m2!3m1!1s0xd6dd792d08d948f:0xe51fe21146d32fe2?sa=X&ved=1t:8290&ictx=111;abydajaen@hotmail.com;Lunes a Domingo 9:00-19:00;https://abydajaenblog.blogspot.com/
La Rioja;Refugio Asociacion Animales Rioja;https://maps.google.com/maps?hl=es&gl=es&um=1&ie=UTF-8&fb=1&sa=X&ftid=0xd5aaf63ccb33751:0x527072f28fe0b84d;665 61 86 28;Lunes a Domingo 10:00-19:00;https://www.animalesrioja.es/perros-en-adopcion-la-rioja/
Las Palmas;ADA Gran Canarias;https://www.google.com/maps/place//data=!4m2!3m1!1s0xc40953805cae0f1:0x262f0f694f7dda7f?sa=X&ved=1t:8290&ictx=111;info@adagrancanaria.org;Lunes a Sábado de 10:00-17:00;https://www.adagrancanaria.org/pet-category/perros/
León;Galgos de León;;686 369 225;Lunes a Viernes de 10:00-14:00 y de 16:00-20:00;https://galgosdeleon.es/en-adopcion/
Lérida;Protectora Amics dels Animals del Segrià;https://maps.google.com/maps?hl=es&gl=es&um=1&ie=UTF-8&fb=1&sa=X&ftid=0x12a71ff71deeb189:0x87f645c123b9eef4;amicsdelsanimalsdelsegria@gmail.com;Lunes a Domingo de 9:30-13:00;https://amicsdelsanimals.org/la-39-perros-en-adopcion
Lugo;Sociedad protectora de animales y plantas de Lugo;https://www.google.com/maps/place//data=!4m2!3m1!1s0xd31cf31be4ef177:0xa5785f79818ed50b?sa=X&ved=1t:8290&ictx=111;600 54 88 49;Lunes a Viernes de 12:00-17:00 // Sábado de 11:00-14:00;https://protectoralugo.org/adopciones/
Madrid;Asociación protectora de animales peludosos;https://www.google.com/maps/place//data=!4m2!3m1!1s0xd423bfe51e2263f:0xa2cfc79bdf902622?sa=X&ved=1t:8290&ictx=111;636 43 16 60 / 622 36 06 81;Lunes a Domingo de 9:00-22:00;http://www.peludosos.es/peludosos/nuestrosanimales/perros/
Málaga;SPAPMA - Sociedad protectora de animales y plantas de Málaga;https://www.google.com/maps/place//data=!4m2!3m1!1s0xd72f650cc5f3943:0x513ed497c7a18241?sa=X&ved=1t:8290&ictx=111;951 94 69 77;Lunes a Viernes de 11:00-14:00 y 17:00-19:00 // Sábado de 11:00-14:00;https://www.protectoramalaga.com/perros-en-adopcion/1/
Murcia;ANERPA - Asociación Nacional Española de Rehabiliación y Protección Animal;https://www.google.com/maps/place//data=!4m2!3m1!1s0xd63821b6a49ca59:0xe653c83997928a71?sa=X&ved=1t:8290&ictx=111;661 38 58 30;Lunes a Viernes de 10:00-14:00 y 16:00-20:00;https://www.anerpa.org/en-adopcion/
Navarra;Fundación Protectora de Animales de Navarra;https://www.google.com/maps/place//data=!4m2!3m1!1s0xd5093c3924110f3:0xbede6965ef6bb375?sa=X&ved=1t:8290&ictx=111;948 15 16 15;Lunes a Domingo de 11:00-13:30;https://www.fundacionprotectora.org/p/es/adopta/perros.php
Ourense;Bichiños;https://www.google.com/maps/place//data=!4m2!3m1!1s0xd2ffd4111ccccf9:0x28b92e81c8c00580?sa=X&ved=1t:8290&ictx=111;661 95 67 02;Lunes a Domingo de 11:00-16:00 y 20:00-22:00;https://xn--bichios-8za.com/index.php/adopcion/
Palencia;Protectora de Animales de Palencia SCOOBY;https://www.google.com/maps/place//data=!4m2!3m1!1s0xd47baab9ba0f6bb:0x1239b67b0b4165b3?sa=X&ved=1t:8290&ictx=111;648 71 69 34;Lunes a Viernes de 11:30-14:00 y 15:00-17:00 // Sábado de 11:30-14:00;https://es-es.facebook.com/scoobypalencia/
Pontevedra;Aloia Protectora de Animais;Camiño Guillarei-A Gándara, 36720 Tui, Pontevedra;675696178;Lunes a Domingo de 9:00-13:30;https://aloiaprotectora.org/
Salamanca;ASPAP - Asociación Salmantina Protectora de Animales y Plantas;;923 25 07 27;;https://protectorasalmantina.org/adoptar-perro/
Segovia;Protectora de Animales de Segovia;https://www.google.com/maps/place//data=!4m2!3m1!1s0xd413f1a4f6b2231:0x743e523a0ec1873c?sa=X&ved=1t:8290&ictx=111;659 91 42 11;Lunes a Viernes de 17:00-19:00 // Sábado y Domingo de 10:30-12:30;https://www.perritosdesegovia.com/peludos/adopta_perrito.php
Sevilla;FBM - Fundación Benjamín Mehnert;https://www.google.com/maps/place//data=!4m2!3m1!1s0xd126fda91b91d27:0xc424834dfffa5c33?sa=X&ved=1t:8290&ictx=111;954 50 38 41;Lunes a Viernes de 9:30-14:00 y 15:00-18:00 // Sábado de 9:00-14:00;https://fundacionbm.com/tipo_acogida/adopcion/
Soria;Redención - El Hogar de los Animales de Soria;https://www.google.com/maps/place//data=!4m2!3m1!1s0xd5b2da139d5d2b1:0xdb4c8ffef0483e41?sa=X&ved=1t:8290&ictx=111;606 88 17 10;Lunes a Domingo de 9:00-14:00;https://www.redencion.org/perros.html
Tarragona;ARDA Asociación de Rescate y Defensa Animal;https://maps.app.goo.gl/RrQ2nauBa4HmSwsK9;661 66 30 83;Lunes a Sábado de 17:00-20:00;https://arda.es/listado
Santa Cruz de Tenerife;Asociación para la Defensa y Protección de los Animales Canarias;https://maps.app.goo.gl/YaMtQcU6KiWGme7V7;669 76 74 48;Lunes a Viernes de 9:00-13:00 // Sábado y Domingo de 10:00-12:00;https://www.adepaccanarias.com/el-albergue/perros/
Teruel;Protectora de Animales de Teruel Amigo Mío;;665 68 67 11;Abierto 24 horas;https://www.amigomio.info/animals/up-for-adoption/dogs
Toledo;Mas Vida;https://maps.app.goo.gl/oZYx6zLkqpebvyd8A;info@apamasvida.org;Lunes a Sábado 12:00-14:00;http://www.apamasvida.org/nuestros-perros/
Valencia;SVPAP - Sociedad Valenciana Protectora de Animales y Plantas;https://www.google.com/maps/place//data=!4m2!3m1!1s0xd605b8410945777:0x882822c31f3184f0?sa=X&ved=1t:8290&ictx=111;655789085;Lunes a Domingo de 10:30-14:00;https://svpap.org/la-29-nuestro-perros
Valladolid;Programa ADOPTA - Adopción de animales;https://maps.app.goo.gl/vWaS7UJLNN7FKGHr5;983 426 100;Lunes a Viernes de 11:00-13:30;https://www.valladolid.es/es/programa-adopta.buscar?formName=searchForm&searchType=0&sortIndex=0&S_ANIMAL_min=Perro&S_ANIMAL_min=Gato&S_ANIMAL_min=Otros&search=submit
Vizcaya;APA Puppy Bilbao;https://www.google.com/maps/place//data=!4m2!3m1!1s0xd4e4fbd56f29d9d:0xffe236296d19d845?sa=X&ved=1t:8290&ictx=111;944 27 14 70;Lunes a Viernes de 10:00-13:00;https://www.puppybilbao.org/perros-en-adopcion/
Zamora;Protectora de animales Zamora;https://www.google.com/maps/place//data=!4m2!3m1!1s0xd391f9930cfaad7:0x7d59ac586045088c?sa=X&ved=1t:8290&ictx=111;678 19 83 76;Abierto 24 horas;https://protectorazamora.com/adopta-una-mascota/
Zaragoza;ADPCA - Asociación Para la Defensa y Prevención de la Crueldad contra los Animales;https://maps.app.goo.gl/iTnmmYPyiw1zoQwf6;681145814;Lunes a Sábado 12:00-15:00;https://adpca.es/mascotas/?type=perro
Ceuta;Asociación Protectora de Animales y Plantas de Ceuta;https://www.google.com/maps/place//data=!4m2!3m1!1s0xd0ca3ceeaaa0b29:0x6deb86d39695876a?sa=X&ved=1t:8290&ictx=111;663 18 52 88;Lunes a Sábado de 18:00-20:00;https://www.protectoraanimalesceuta.es/adopta/perros/
Melilla;Sociedad protectora de animales;https://www.google.com/maps/place//data=!4m2!3m1!1s0xd77050036d9c2a9:0x85d87577033af022?sa=X&ved=1t:8290&ictx=111;952 69 03 32;Lunes a Viernes de 09:00-13:00 y Lunes a Domingo de 17:00-19:30;https://www.instagram.com/protemelilla/?hl=es
